SYMBOL,degree,is_biomarker,Source
EGFR,112,1,http://lcbd.biomarkerdb.com/home
IL6,96,1,https://pubmed.ncbi.nlm.nih.gov/38384009/
CCNB1,84,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC9641803/
BIRC5,74,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11655497/
CCNA2,72,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11725219/
TOP2A,70,1,http://lcbd.biomarkerdb.com/home
CCNB2,70,1,https://www.frontiersin.org/journals/integrative-neuroscience/articles/10.3389/fnint.2022.854540/full
CDC45,70,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11000299/
BUB1B,68,1,https://pubmed.ncbi.nlm.nih.gov/40076684/
CDC20,68,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11303833/
CXCL8,68,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11236764/
DLGAP5,68,1,https://link.springer.com/article/10.1007/s12672-025-04145-z
KIF20A,68,1,https://link.springer.com/article/10.1186/s12885-025-15221-6
MELK,68,0,
CDCA8,66,0,
CEP55,66,0,
MMP9,66,0,
RRM2,66,0,
ZWINT,66,1,https://pubmed.ncbi.nlm.nih.gov/34852139/
ASPM,64,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11988246/
CENPF,64,0,
EGF,64,0,
HMMR,64,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC8710063/
UBE2C,64,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10869987/
HJURP,62,1,http://lcbd.biomarkerdb.com/home
NUSAP1,62,0,
TPX2,62,0,
TTK,62,0,
FGF2,60,0,
KIF4A,58,0,
NEK2,58,0,
CDCA5,56,1,http://lcbd.biomarkerdb.com/home
MYC,56,1,http://lcbd.biomarkerdb.com/home
ERBB2,54,0,
PCLAF,54,0,
CDH1,52,1,http://lcbd.biomarkerdb.com/home
CXCL12,52,1,http://lcbd.biomarkerdb.com/home
KRAS,52,1,http://lcbd.biomarkerdb.com/home
TK1,52,1,http://lcbd.biomarkerdb.com/home
EXO1,52,0,
ANLN,50,0,
DEPDC1,48,0,
TYMS,46,0,
CDC25C,44,0,
VWF,44,0,
PTEN,42,1,http://lcbd.biomarkerdb.com/home
CDKN2A,38,1,http://lcbd.biomarkerdb.com/home
SOX2,38,1,http://lcbd.biomarkerdb.com/home
CD274,38,0,
COL1A1,38,0,
PECAM1,38,0,
SPP1,36,0,
MET,34,1,http://lcbd.biomarkerdb.com/home
BDNF,34,0,
FCGR3A,32,1,http://lcbd.biomarkerdb.com/home
CDH5,32,0,
FCGR3B,32,0,
PTGS2,32,0,
UBE2T,32,0,
CAV1,30,0,
CD36,30,0,
CXCR2,30,0,
E2F8,30,0,
CD19,28,0,
CXCL5,28,0,
TEK,28,0,
E2F1,26,1,http://lcbd.biomarkerdb.com/home
ANGPT1,26,0,
COL1A2,26,0,
COL3A1,26,0,
GSTP1,24,1,http://lcbd.biomarkerdb.com/home
ATF3,24,0,
CSF3,24,0,
CXCL13,24,0,
CXCL2,24,0,
HBEGF,24,0,
MMP3,24,0,
THBS2,24,0,
MLH1,22,1,http://lcbd.biomarkerdb.com/home
BMP2,22,0,
CD69,22,0,
CLDN5,22,0,
DEPDC1B,22,0,
EDN1,22,0,
GZMB,22,0,
ITGA1,22,0,
MMP1,22,0,
PRF1,22,0,
SELE,22,0,
UHRF1,22,0,
CBFB,20,0,
CLU,20,0,
CXCL3,20,0,
FGFR4,20,0,
IL7R,20,0,
ITGA8,20,0,
MMP7,20,0,
GDNF,18,1,http://lcbd.biomarkerdb.com/home
MGMT,18,1,http://lcbd.biomarkerdb.com/home
RASSF1,18,1,http://lcbd.biomarkerdb.com/home
SFN,18,1,http://lcbd.biomarkerdb.com/home
SPARC,18,1,http://lcbd.biomarkerdb.com/home
AREG,18,0,
COL10A1,18,0,
EGR1,18,0,
PPBP,18,0,
ALK,16,1,http://lcbd.biomarkerdb.com/home
BRAF,16,1,http://lcbd.biomarkerdb.com/home
TGFBR2,16,1,http://lcbd.biomarkerdb.com/home
ADRB2,16,0,
ANXA1,16,0,
COL11A1,16,0,
FOSB,16,0,
GNLY,16,0,
IBSP,16,0,
KLRD1,16,0,
SNCA,16,0,
ALDH3A1,14,1,http://lcbd.biomarkerdb.com/home
GPX3,14,1,http://lcbd.biomarkerdb.com/home
CD24,14,0,
COL5A2,14,0,
LPL,14,0,
SH3GL3,14,0,
TIE1,14,0,
ADH1B,12,1,http://lcbd.biomarkerdb.com/home
AGER,12,1,http://lcbd.biomarkerdb.com/home
ANXA2,12,1,http://lcbd.biomarkerdb.com/home
GINS2,12,1,http://lcbd.biomarkerdb.com/home
GSTM3,12,1,http://lcbd.biomarkerdb.com/home
CAVIN1,12,0,
CCL18,12,0,
CFP,12,0,
COL5A1,12,0,
CXCL14,12,0,
EGR3,12,0,
ESAM,12,0,
GINS1,12,0,
KLF4,12,0,
LYVE1,12,0,
NR4A1,12,0,
NR4A2,12,0,
S100A10,12,0,
SOCS3,12,0,
ERCC4,10,1,http://lcbd.biomarkerdb.com/home
MGST1,10,1,http://lcbd.biomarkerdb.com/home
RUNX3,10,1,http://lcbd.biomarkerdb.com/home
SOD1,10,1,http://lcbd.biomarkerdb.com/home
XRCC1,10,1,http://lcbd.biomarkerdb.com/home
AGTR1,10,0,
AKAP12,10,0,
AOC3,10,0,
ARC,10,0,
COMP,10,0,
EFNA4,10,0,
EMCN,10,0,
GRIA1,10,0,
LRRK2,10,0,
MME,10,0,
MMP13,10,0,
NKG7,10,0,
NR4A3,10,0,
PTPRB,10,0,
S100A12,10,0,
SH3GL2,10,0,
XDH,10,0,
CBLC,8,1,http://lcbd.biomarkerdb.com/home
MIF,8,1,http://lcbd.biomarkerdb.com/home
SFTPC,8,1,http://lcbd.biomarkerdb.com/home
ACKR1,8,0,
ACTN2,8,0,
ACVRL1,8,0,
ANK2,8,0,
C5AR1,8,0,
C8B,8,0,
CEACAM5,8,0,
CR2,8,0,
DLG3,8,0,
EPAS1,8,0,
FCN1,8,0,
GADD45B,8,0,
GHR,8,0,
GPC3,8,0,
IL33,8,0,
KLF2,8,0,
LAMA3,8,0,
LIFR,8,0,
LILRB2,8,0,
MMP11,8,0,
NEDD4L,8,0,
NTRK3,8,0,
PLCB4,8,0,
PLPP2,8,0,
RAD54L,8,0,
ROBO4,8,0,
S100A8,8,0,
SCN4B,8,0,
SFTPD,8,0,
TAC1,8,0,
TBX3,8,0,
THBD,8,0,
CDH13,6,1,http://lcbd.biomarkerdb.com/home
ERCC5,6,1,http://lcbd.biomarkerdb.com/home
GSTZ1,6,1,http://lcbd.biomarkerdb.com/home
PAX8,6,1,http://lcbd.biomarkerdb.com/home
PLA2G4A,6,1,http://lcbd.biomarkerdb.com/home
ROS1,6,1,http://lcbd.biomarkerdb.com/home
TP63,6,1,http://lcbd.biomarkerdb.com/home
ACKR4,6,0,
ANGPTL1,6,0,
ANOS1,6,0,
AOX1,6,0,
C7,6,0,
CAV2,6,0,
CDH3,6,0,
CETP,6,0,
CPB2,6,0,
EYA4,6,0,
GAD1,6,0,
GIMAP1,6,0,
GIMAP6,6,0,
GIMAP7,6,0,
GIMAP8,6,0,
GPR37,6,0,
GRK5,6,0,
KCNK3,6,0,
KLF1,6,0,
