SYMBOL,degree,is_biomarker,UniProt,emb_idx
A2M,34,0,P01023,1360.0
AATF,6,0,Q9NY61,31.0
ABAT,6,0,P80404,4307.0
ABCA1,12,0,O95477,7021.0
ABCC4,2,0,O15439,6467.0
ABCG1,6,0,P45844,1175.0
ABCG2,12,0,Q9UNQ0,9481.0
ABL2,2,0,P42684,15130.0
ACACA,8,0,Q13085,9844.0
ACER3,4,0,Q9NUN7,13836.0
ACSBG1,8,0,Q96GR2,10266.0
ACSL1,16,1,P33121,9840.0
ACSL4,14,0,O60488,9323.0
ACSL6,8,0,Q9UKU0,17738.0
ACTA1,28,0,P68133,5154.0
ACTA2,36,0,P62736,10049.0
ACTC1,20,0,P68032,13781.0
ACTG2,22,0,P63267,663.0
ACTN4,30,1,O43707,8195.0
ADA2,2,0,Q9NZK5,14410.0
ADAM12,8,0,O43184,7001.0
ADAM22,4,0,Q9P0K1,12645.0
ADAM28,2,0,Q9UKQ2,7910.0
ADAMTS2,4,0,O95450,13347.0
ADAP1,2,0,O75689,3916.0
ADAP2,2,0,Q9NPF8,8840.0
ADCY2,22,0,Q08462,3034.0
ADCY8,24,0,P40145,12707.0
ADCYAP1R1,2,0,P41586,14059.0
ADD3,6,1,Q9UEY8,5920.0
ADGRG1,2,0,Q9Y653,9881.0
ADGRL3,10,0,Q9HAR2,16837.0
ADO,2,1,Q96SZ5,10561.0
AGT,40,0,P01019,15020.0
AHCY,2,0,P23526,17899.0
AHRR,2,0,A9YTQ3,4669.0
AIF1,46,0,P55008,877.0
AJUBA,2,0,Q96IF1,2335.0
AK5,4,0,Q9Y6K8,17626.0
AKR1C3,4,0,P42330,4621.0
ALDH1A1,22,1,P00352,7328.0
ALDH1A2,6,0,O94788,13004.0
ALDH1A3,6,0,P47895,1450.0
ALDH1L1,10,0,O75891,9632.0
ALDH5A1,12,0,P51649,8686.0
ALOX5,16,1,P09917,1281.0
AMACR,4,1,Q9UHK6,1488.0
AMMECR1,4,0,Q9Y4X0,6976.0
AMPH,18,0,P49418,1052.0
ANKRD1,2,0,Q15327,10864.0
ANLN,22,0,Q9NQW6,4929.0
ANO1,4,0,Q5XXA6,14708.0
ANP32E,2,0,Q9BTT0,2363.0
ANPEP,22,0,P15144,515.0
AOPEP,2,0,Q8N6M6,13711.0
APBB1IP,18,0,Q7Z5R6,1435.0
APBB2,2,0,Q92870,3778.0
APC2,4,0,Q9UJX6,11247.0
APEH,2,0,P13798,11088.0
APLNR,10,0,P35414,15000.0
APOC1,18,0,P02654,8324.0
APOD,8,1,P05090,1160.0
APOE,84,0,P02649,14210.0
ARF3,4,0,P61204,3463.0
ARHGAP24,2,0,Q8N264,1779.0
ARHGAP26,4,0,Q9UNA1,17434.0
ARHGEF6,8,0,Q15052,7988.0
ARPP19,2,0,P56211,4957.0
ARPP21,2,0,Q9UBL0,11676.0
ASCL1,18,0,P50553,17054.0
ASTN2,6,0,O75129,6204.0
ATG16L1,6,0,Q676U5,11182.0
ATP1A2,8,0,P50993,11442.0
ATP1B2,4,0,P14415,13602.0
ATP2B2,2,0,Q01814,16695.0
ATP5MC2,4,0,Q06055,1390.0
ATP6V0D2,4,0,Q8N8Y2,9076.0
ATP6V1E1,4,1,P36543,15883.0
ATRX,20,1,P46100,17029.0
AURKA,38,1,O14965,2364.0
B4GALNT3,2,0,Q6L9W6,4788.0
BACE2,2,0,Q9Y5Z0,12386.0
BAG2,2,0,O95816,5420.0
BBOX1,4,0,O75936,655.0
BCAN,8,1,Q96GW7,7701.0
BCAS1,2,0,O75363,14855.0
BCHE,8,0,P06276,7363.0
BCL11A,12,0,Q9H165,6485.0
BCL11B,4,0,Q9C0K0,602.0
BCL6,24,1,P41182,2451.0
BDNF,72,0,P23560,8569.0
BLID,2,0,Q8IZY5,13877.0
BLNK,12,0,Q8WV28,9551.0
BMP1,18,0,P13497,7100.0
BMP4,44,0,P12644,2994.0
BMP7,22,0,P18075,9271.0
BMPR1B,10,1,O00238,209.0
BOC,4,0,Q9BWV1,1194.0
BRAF,38,1,P15056,1014.0
BRPF1,2,0,P55201,14853.0
BST1,4,0,Q10588,115.0
BST2,20,0,Q10589,6392.0
C15ORF40,2,0,Q8WUR7,13081.0
C1QA,40,0,P02745,6723.0
C1QB,36,0,P02746,17799.0
C1QC,18,0,P02747,8945.0
C1R,22,0,P00736,1300.0
C1S,24,0,P09871,16176.0
C3,44,1,P01024,10660.0
C3AR1,26,0,Q16581,1764.0
C5,6,0,P01031,15327.0
CA2,4,0,P00918,13185.0
CACNA1E,8,0,Q15878,4195.0
CACNA2D1,16,0,P54289,11107.0
CACNB2,16,0,Q08289,13797.0
CACNB4,22,0,O00305,1253.0
CACNG3,18,0,O60359,3290.0
CALCRL,2,0,Q16602,4950.0
CALD1,20,0,Q05682,14598.0
CALU,8,0,O43852,5867.0
CAMK2A,50,0,Q9UQM7,8625.0
CAMK2B,40,0,Q13554,13728.0
CAP2,2,0,P40123,7295.0
CARD16,4,0,Q5EG05,3481.0
CASP1,38,0,P29466,5452.0
CASP14,2,0,P31944,10583.0
CASP8,30,1,Q14790,7545.0
CAV1,56,1,Q03135,10750.0
CAV2,8,0,P51636,9241.0
CAVIN1,16,0,Q6NZI2,18133.0
CAVIN3,4,0,Q969G5,16548.0
CBLIF,2,0,P27352,229.0
CBX3,6,1,Q13185,7292.0
CCDC65,2,0,Q8IXS2,17550.0
CCL18,10,0,P55774,14487.0
CCL3,34,1,P10147,13119.0
CCL4,22,0,P13236,4248.0
CCL8,4,1,P80075,13422.0
CCN1,6,0,P20248,12008.0
CCNA1,24,1,P78396,15552.0
CCNA2,52,1,P20248,12008.0
CCNB1IP1,2,0,Q9NPC3,5744.0
CCNB2,42,1,O95067,8621.0
CCND1,62,1,P24385,7217.0
CCND2,16,0,P30279,10384.0
CCR1,34,0,P32246,15.0
CD14,22,0,P08571,16902.0
CD163,42,1,Q86VB7,13584.0
